campaign_id,gender,age_range,education_level,country,state,sentiment_category
1,other,35-44,bachelor,Argentina,Other,neutral
1,other,55-64,master,Other,Other,positive
1,other,18-24,other,Colombia,Other,positive
1,male,35-44,phd,Germany,Other,positive
1,prefer not to say,25-34,bachelor,Other,Other,neutral
1,male,45-54,master,China,Other,positive
1,female,35-44,highschool,Other,Other,neutral
1,male,65+,highschool,Japan,Other,positive
1,prefer not to say,65+,phd,Switzerland,Other,negative
1,male,55-64,elementary,Argentina,Other,negative
1,female,35-44,phd,Mexico,Other,positive
1,male,65+,highschool,Italy,Other,positive
1,prefer not to say,65+,master,South Korea,Other,positive
1,other,65+,master,Australia,Other,neutral
1,male,45-54,highschool,Portugal,Other,negative
1,other,45-54,bachelor,Other,Other,positive
1,female,other,master,South Africa,Other,positive
1,prefer not to say,18-24,elementary,Portugal,Other,positive
1,prefer not to say,65+,master,Mexico,Other,positive
1,other,65+,master,United States,Other,positive
1,female,25-34,phd,Netherlands,Other,neutral
1,prefer not to say,55-64,phd,China,Other,neutral
1,prefer not to say,other,master,Spain,Other,positive
1,prefer not to say,18-24,bachelor,Germany,Other,positive
1,other,35-44,highschool,Japan,Other,positive
1,female,25-34,master,Brazil,DF,positive
1,female,18-24,phd,United States,Other,positive
1,other,25-34,elementary,Spain,Other,positive
1,male,35-44,elementary,United States,Other,positive
1,male,55-64,phd,South Africa,Other,positive
1,other,55-64,phd,Argentina,Other,positive
1,prefer not to say,25-34,master,United Kingdom,Other,positive
1,female,55-64,phd,India,Other,negative
1,other,65+,highschool,Mexico,Other,positive
1,male,55-64,highschool,Angola,Other,neutral
1,female,other,elementary,Germany,Other,neutral
1,female,25-34,phd,Argentina,Other,positive
1,prefer not to say,other,phd,Australia,Other,positive
1,prefer not to say,45-54,elementary,Japan,Other,neutral
1,female,65+,bachelor,Canada,Other,positive
1,prefer not to say,55-64,elementary,Australia,Other,negative
1,male,55-64,master,France,Other,positive
1,female,18-24,phd,France,Other,positive
1,female,other,highschool,Mexico,Other,neutral
1,female,45-54,bachelor,Switzerland,Other,neutral
1,male,other,bachelor,Netherlands,Other,positive
1,prefer not to say,25-34,other,Brazil,SP,positive
1,female,other,bachelor,Angola,Other,negative
1,female,55-64,elementary,Other,Other,positive
1,female,45-54,master,Other,Other,positive
1,prefer not to say,45-54,elementary,South Africa,Other,negative
1,other,other,other,United States,Other,neutral
1,other,other,highschool,Colombia,Other,positive
1,female,65+,phd,Japan,Other,positive
1,other,25-34,other,Germany,Other,positive
1,prefer not to say,other,highschool,India,Other,negative
1,female,55-64,bachelor,Switzerland,Other,positive
1,female,35-44,bachelor,United States,Other,positive
1,female,other,elementary,Japan,Other,positive
1,other,other,phd,Mozambique,Other,positive
1,other,65+,other,Mozambique,Other,positive
1,female,55-64,highschool,South Africa,Other,positive
1,female,45-54,master,South Korea,Other,positive
1,other,25-34,elementary,Germany,Other,positive
1,other,18-24,elementary,Argentina,Other,positive
1,female,55-64,elementary,Spain,Other,neutral
1,other,45-54,bachelor,Canada,Other,positive
1,prefer not to say,25-34,phd,Spain,Other,positive
1,male,other,master,Australia,Other,negative
1,male,25-34,elementary,Italy,Other,positive
1,prefer not to say,55-64,other,Netherlands,Other,positive
1,prefer not to say,18-24,master,Mexico,Other,negative
1,female,65+,highschool,United Kingdom,Other,positive
1,other,35-44,highschool,South Korea,Other,positive
1,male,other,master,Spain,Other,neutral
1,male,other,bachelor,Portugal,Other,positive
1,other,45-54,other,South Korea,Other,positive
1,male,45-54,phd,France,Other,positive
1,female,65+,highschool,Argentina,Other,positive
1,other,55-64,master,Japan,Other,negative
1,male,55-64,bachelor,Colombia,Other,negative
1,female,35-44,other,Mozambique,Other,neutral
1,prefer not to say,25-34,elementary,South Korea,Other,negative
1,prefer not to say,35-44,phd,Australia,Other,positive
1,male,65+,elementary,South Africa,Other,neutral
1,other,45-54,elementary,Japan,Other,positive
1,prefer not to say,other,master,China,Other,positive
1,female,25-34,other,United Kingdom,Other,positive
1,female,65+,highschool,Japan,Other,positive
1,female,65+,phd,Mozambique,Other,positive
1,female,55-64,highschool,Brazil,CE,positive
1,prefer not to say,other,bachelor,Portugal,Other,positive
1,female,35-44,bachelor,India,Other,negative
1,male,18-24,elementary,Chile,Other,negative
1,female,other,bachelor,United States,Other,negative
1,prefer not to say,55-64,other,Netherlands,Other,positive
1,female,65+,bachelor,Peru,Other,neutral
1,female,45-54,master,United States,Other,positive
1,prefer not to say,25-34,elementary,Germany,Other,positive
1,other,35-44,other,Peru,Other,positive
1,prefer not to say,55-64,bachelor,Other,Other,positive
1,prefer not to say,45-54,master,Mozambique,Other,positive
1,female,other,bachelor,Other,Other,negative
